"금연구역명",금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,금연구역면적,위반과태료,위반신고전화번호,소재지도로명주소,소재지지번주소,관리기관명,위도,경도,데이터기준일자
"방어게임장",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 명덕6길 24, 2층 (서부동)","울산광역시 동구 명덕6길 24, 2층 (서부동)",울산광역시 동구,35.5238974,129.4318108,2019-09-18
"배트맨PC ZONE",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 명덕7길 15, 1층 (서부동, 서부동우편취급국)","울산광역시 동구 명덕7길 15, 1층 (서부동, 서부동우편취급국)",울산광역시 동구,35.5236311,129.4305581,2019-09-18
"보스피시방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문재2길 71, 2층 (방어동)","울산광역시 동구 문재2길 71, 2층 (방어동)",울산광역시 동구,35.4857014,129.4193022,2019-09-18
"봉봉게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 문재5길 54 (방어동),울산광역시 동구 문재5길 54 (방어동),울산광역시 동구,35.4869134,129.4170226,2019-09-18
"빅스타게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문재8길 10, 1층 (방어동)","울산광역시 동구 문재8길 10, 1층 (방어동)",울산광역시 동구,35.4843836,129.4190047,2019-09-18
"뽀꼬뽀끼",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문재로 16, 1층 (방어동)","울산광역시 동구 문재로 16, 1층 (방어동)",울산광역시 동구,35.4878963,129.4170575,2019-09-18
"뽑고뽑고 인형뽑기",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문재로 45, 102호 (방어동)","울산광역시 동구 문재로 45, 102호 (방어동)",울산광역시 동구,35.48622399,129.419629,2019-09-18
"뽑기세상",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문재로 56, 1층 (방어동)","울산광역시 동구 문재로 56, 1층 (방어동)",울산광역시 동구,35.4854614,129.4202457,2019-09-18
"뽑기짱",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 문현6길 13 (방어동),울산광역시 동구 문현6길 13 (방어동),울산광역시 동구,35.4854869,129.4120067,2019-09-18
"뽑기짱 방어점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문현로 105-1, 2, 3층 (방어동)","울산광역시 동구 문현로 105-1, 2, 3층 (방어동)",울산광역시 동구,35.47922941,129.410752,2019-09-18
"뽑기짱 전하점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문현로 107, 2층 (방어동)","울산광역시 동구 문현로 107, 2층 (방어동)",울산광역시 동구,35.4791277,129.4107396,2019-09-18
"선스타",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문현로 109, 2층 (방어동)","울산광역시 동구 문현로 109, 2층 (방어동)",울산광역시 동구,35.4789915,129.4107472,2019-09-18
"스마트PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 문현로 61, 2층 (방어동)","울산광역시 동구 문현로 61, 2층 (방어동)",울산광역시 동구,35.4830482,129.4124569,2019-09-18
"스카이 PC Net",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 미포1길 46-17, 2층 (동부동)","울산광역시 동구 미포1길 46-17, 2층 (동부동)",울산광역시 동구,35.5417933,129.4290853,2019-09-18
"스타게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 바드래5길 22, 3층 (전하동)","울산광역시 동구 바드래5길 22, 3층 (전하동)",울산광역시 동구,35.5169482,129.4316786,2019-09-18
"스타덤 PC방 울산서부점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1119, 지하1층 (서부동)","울산광역시 동구 방어진순환도로 1119, 지하1층 (서부동)",울산광역시 동구,35.5390376,129.4262356,2019-09-18
"스펀지PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 1126, 1층 (서부동)","울산광역시 동구 방어진순환도로 1126, 1층 (서부동)",울산광역시 동구,35.5395946,129.4259245,2019-09-18
"승승PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 1141 (서부동),울산광역시 동구 방어진순환도로 1141 (서부동),울산광역시 동구,35.5392925,129.4242674,2019-09-18
"시즌아이PC방 울산방어동점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 456,울산광역시 동구 방어진순환도로 456,울산광역시 동구,35.487091,129.4173364,2019-09-18
"아이센스PC 화정점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 456(방어동),울산광역시 동구 방어진순환도로 456(방어동),울산광역시 동구,35.487091,129.4173364,2019-09-18
"아이센스PC방 산록마을점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 456, 지하1층","울산광역시 동구 방어진순환도로 456, 지하1층",울산광역시 동구,35.487091,129.4173364,2019-09-18
"아이스짱 & 뽑기짱",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 606 (화정동),울산광역시 동구 방어진순환도로 606 (화정동),울산광역시 동구,35.4958002,129.4278073,2019-09-18
"아쿠아PC2호점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 607, 1층 (화정동)","울산광역시 동구 방어진순환도로 607, 1층 (화정동)",울산광역시 동구,35.4960523,129.427221,2019-09-18
"알파고PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 633, 지하1층 (일산동)","울산광역시 동구 방어진순환도로 633, 지하1층 (일산동)",울산광역시 동구,35.49836246,129.4277192,2019-09-18
"애플PC서부점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 647, 2층 (일산동)","울산광역시 동구 방어진순환도로 647, 2층 (일산동)",울산광역시 동구,35.4995448,129.4281293,2019-09-18
"오렌지 PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652, A동 3층 304호 (일산동)","울산광역시 동구 방어진순환도로 652, A동 3층 304호 (일산동)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"오렌지PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 652, D동 1층 103호 (일산동)","울산광역시 동구 방어진순환도로 652, D동 1층 103호 (일산동)",울산광역시 동구,35.4997996,129.4293738,2019-09-18
"오렌지PC 화정점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 673(일산동),울산광역시 동구 방어진순환도로 673(일산동),울산광역시 동구,35.5018947,129.4287264,2019-09-18
"오렌지PC(명덕점)",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 691, 2층 (일산동)","울산광역시 동구 방어진순환도로 691, 2층 (일산동)",울산광역시 동구,35.5034354,129.4291461,2019-09-18
"오렌지PC(방어동)",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 705-1, 1층 (일산동)","울산광역시 동구 방어진순환도로 705-1, 1층 (일산동)",울산광역시 동구,35.5047001,129.429206,2019-09-18
"오렌지PC(화정동)",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 783, 4층 (전하동)","울산광역시 동구 방어진순환도로 783, 4층 (전하동)",울산광역시 동구,35.5115656,129.4303947,2019-09-18
"와PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 방어진순환도로 785,울산광역시 동구 방어진순환도로 785,울산광역시 동구,35.5118008,129.4303228,2019-09-18
"와PC (전하점)",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 785, 스타타워 801호 (전하동)","울산광역시 동구 방어진순환도로 785, 스타타워 801호 (전하동)",울산광역시 동구,35.5118008,129.4303228,2019-09-18
"이게PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 785, 스타타워 801호(전하동)","울산광역시 동구 방어진순환도로 785, 스타타워 801호(전하동)",울산광역시 동구,35.5118008,129.4303228,2019-09-18
"이게PC방이다 남목점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 793, 3층 (전하동)","울산광역시 동구 방어진순환도로 793, 3층 (전하동)",울산광역시 동구,35.5125296,129.4305816,2019-09-18
"인터쿨PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 833, 2층 (전하동)","울산광역시 동구 방어진순환도로 833, 2층 (전하동)",울산광역시 동구,35.5158307,129.4321989,2019-09-18
"인형뽑기",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 919, 3층 (서부동)","울산광역시 동구 방어진순환도로 919, 3층 (서부동)",울산광역시 동구,35.5232318,129.432606,2019-09-18
"임페리얼PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 941, 4층 (서부동)","울산광역시 동구 방어진순환도로 941, 4층 (서부동)",울산광역시 동구,35.52506387,129.4328177,2019-09-18
"제닉스아레나PC 남목점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 방어진순환도로 945, 2층 (서부동)","울산광역시 동구 방어진순환도로 945, 2층 (서부동)",울산광역시 동구,35.525523,129.4329047,2019-09-18
"짬짜미코인노래타임",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 번덕8길 105, 2,3층 (일산동)","울산광역시 동구 번덕8길 105, 2,3층 (일산동)",울산광역시 동구,35.5016032,129.4277624,2019-09-18
"차칸 PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 번덕8길 120, 2층 (일산동)","울산광역시 동구 번덕8길 120, 2층 (일산동)",울산광역시 동구,35.502281,129.4279264,2019-09-18
"찬스PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 번덕8길 82, 지하1층 (일산동)","울산광역시 동구 번덕8길 82, 지하1층 (일산동)",울산광역시 동구,35.5006501,129.4276452,2019-09-18
"추억의뽑기방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 봉수로 315, 3층 (전하동)","울산광역시 동구 봉수로 315, 3층 (전하동)",울산광역시 동구,35.5143602,129.423721,2019-09-18
"캐치미",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 봉수로 329, 1층 (전하동)","울산광역시 동구 봉수로 329, 1층 (전하동)",울산광역시 동구,35.5151807,129.424075,2019-09-18
"쿨PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 북진1길 12, 1층 (방어동)","울산광역시 동구 북진1길 12, 1층 (방어동)",울산광역시 동구,35.48650572,129.4197784,2019-09-18
"킹게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 북진3길 23, 2층 (방어동)","울산광역시 동구 북진3길 23, 2층 (방어동)",울산광역시 동구,35.48630438,129.4217289,2019-09-18
"킹PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 북진5길 11 (방어동),울산광역시 동구 북진5길 11 (방어동),울산광역시 동구,35.4855684,129.4217991,2019-09-18
"타이탄PC존",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 북진5길 25(방어동),울산광역시 동구 북진5길 25(방어동),울산광역시 동구,35.4864164,129.4213501,2019-09-18
"태풍게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 슬도로 25, 1층 (방어동)","울산광역시 동구 슬도로 25, 1층 (방어동)",울산광역시 동구,35.48744662,129.428554,2019-09-18
"톡게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 월봉10길 9, 1층 (화정동)","울산광역시 동구 월봉10길 9, 1층 (화정동)",울산광역시 동구,35.4946987,129.420022,2019-09-18
"티오 피시존",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 월봉10길 9, 2층 (화정동)","울산광역시 동구 월봉10길 9, 2층 (화정동)",울산광역시 동구,35.4946987,129.420023,2019-09-18
"팝스멀티방 울산점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 월봉11길 24 (화정동),울산광역시 동구 월봉11길 24 (화정동),울산광역시 동구,35.4938371,129.4207094,2019-09-18
"포키포키",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 월봉4길 69(방어동),울산광역시 동구 월봉4길 69(방어동),울산광역시 동구,35.489972,129.420469,2019-09-18
"플러스PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 월봉로 56, 2층 (화정동)","울산광역시 동구 월봉로 56, 2층 (화정동)",울산광역시 동구,35.4941265,129.4243756,2019-09-18
"플레이샵",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 일산진1길 24, 1층 (일산동)","울산광역시 동구 일산진1길 24, 1층 (일산동)",울산광역시 동구,35.50157593,129.4310114,2019-09-18
"픽미픽미",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 13, 1층 106호 (전하동, 대성상가아파트)","울산광역시 동구 전하로 13, 1층 106호 (전하동, 대성상가아파트)",울산광역시 동구,35.5122948,129.429173,2019-09-18
"하나게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 전하로 14,울산광역시 동구 전하로 14,울산광역시 동구,35.5125349,129.4292236,2019-09-18
"하드캐리PC방",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 14, 3.4층 (전하동)","울산광역시 동구 전하로 14, 3.4층 (전하동)",울산광역시 동구,35.5125349,129.4292236,2019-09-18
"한PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 18, 지하1층 (전하동)","울산광역시 동구 전하로 18, 지하1층 (전하동)",울산광역시 동구,35.5125834,129.4288563,2019-09-18
"해적게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 2, 지하1층 (전하동)","울산광역시 동구 전하로 2, 지하1층 (전하동)",울산광역시 동구,35.512368,129.4305269,2019-09-18
"행운 게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 3, 3층 (전하동, 우리은행동울산지점)","울산광역시 동구 전하로 3, 3층 (전하동, 우리은행동울산지점)",울산광역시 동구,35.508801,129.4265717,2019-09-18
"행운게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 30, 2층 (전하동)","울산광역시 동구 전하로 30, 2층 (전하동)",울산광역시 동구,35.5126868,129.427349,2019-09-18
"헌터PC방 울산전하점",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 33, 104동 1층 108호 (전하동, 한라한빛타운 상가)","울산광역시 동구 전하로 33, 104동 1층 108호 (전하동, 한라한빛타운 상가)",울산광역시 동구,35.51249615,129.4270957,2019-09-18
"헬로우VR",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 전하로 40-1, 2층 (전하동)","울산광역시 동구 전하로 40-1, 2층 (전하동)",울산광역시 동구,35.5128077,129.4262014,2019-09-18
"현대게임랜드",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 중진길 13, 2층 (방어동)","울산광역시 동구 중진길 13, 2층 (방어동)",울산광역시 동구,35.4847821,129.4231308,2019-09-18
"환타지PC",시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 중진길 19, 3층 (방어동)","울산광역시 동구 중진길 19, 3층 (방어동)",울산광역시 동구,35.4845039,129.4233286,2019-09-18
KOREA-PC존,시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 진성13길 90, 1층 (전하동)","울산광역시 동구 진성13길 90, 1층 (전하동)",울산광역시 동구,35.5103864,129.4268464,2019-09-18
Nio PC방,시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 진성14길 63, 2층 (전하동)","울산광역시 동구 진성14길 63, 2층 (전하동)",울산광역시 동구,35.508143,129.425511,2019-09-18
NU PC,시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 진성14길 72 (전하동),울산광역시 동구 진성14길 72 (전하동),울산광역시 동구,35.508493,129.425831,2019-09-18
OX Park PC 방어점,시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 진성14길 77, 지하1층 (전하동)","울산광역시 동구 진성14길 77, 지하1층 (전하동)",울산광역시 동구,35.5088339,129.425452,2019-09-18
PC브라더스,시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 진성2길 41 (전하동),울산광역시 동구 진성2길 41 (전하동),울산광역시 동구,35.5113974,129.4275521,2019-09-18
PC팩토리(전하동),시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 진성3길 14, 106호 (전하동, 해븐하늘빛)","울산광역시 동구 진성3길 14, 106호 (전하동, 해븐하늘빛)",울산광역시 동구,35.5101752,129.4293802,2019-09-18
TOY인형뽑기,시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,울산광역시 동구 진성3길 45(전하동),울산광역시 동구 진성3길 45(전하동),울산광역시 동구,35.5101836,129.4270743,2019-09-18
VIP게임랜드,시설 실내,울산광역시,동구,게임제공업소,국민건강증진법 제9조,,100000,052-209-4131,"울산광역시 동구 진성3길 45, 2층","울산광역시 동구 진성3길 45, 2층",울산광역시 동구,35.5101836,129.4270743,2019-09-18
